Month,ID,Name,Age,AnnualIncome,MonthlyInhandSalary,NumBankAccounts,NumCreditCard,InterestRate,NumofLoan,TypeofLoan,Delayfromduedate,NumofDelayedPayment,ChangedCreditLimit,NumCreditInquiries,CreditMix,OutstandingDebt,CreditUtilizationRatio,CreditHistoryAge,PaymentofMinAmount,TotalEMIpermonth,Amountinvestedmonthly,PaymentBehaviour,MonthlyBalance,CreditScore,,,,,,,,,,,,
January,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4,,809.98,26.82261962,22 Years and 1 Months,No,49.57494921,80.41529544,HighspentSmallvaluepayments,312.4940887,Good,,,,,,,,,,,,
February,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1,,11.27,4,Good,809.98,31.94496006,NA,No,49.57494921,118.2802216,LowspentLargevaluepayments,284.6291625,Good,,,,,,,,,,,,
March,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,,4,Good,809.98,28.60935202,22 Years and 3 Months,No,49.57494921,81.69952126,LowspentMediumvaluepayments,331.2098629,Good,,,,,,,,,,,,
April,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5,4,6.27,4,Good,809.98,31.37786187,22 Years and 4 Months,No,49.57494921,199.4580744,LowspentSmallvaluepayments,223.4513097,Good,,,,,,,,,,,,
May,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6,,11.27,4,Good,809.98,24.79734691,22 Years and 5 Months,No,49.57494921,41.42015309,HighspentMediumvaluepayments,341.489231,Good,,,,,,,,,,,,
June,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8,4,9.27,4,Good,809.98,27.26225871,22 Years and 6 Months,No,49.57494921,62.43017233,!@9#%8,340.4792118,Good,,,,,,,,,,,,
July,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8_,11.27,4,Good,809.98,22.53759303,22 Years and 7 Months,No,49.57494921,178.3440674,Low_spent_Small_value_payments,244.5653167,Good,,,,,,,,,,,,
August,1,Aaron Maashoh,23,19114.12,1824.843333,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4,Good,809.98,23.9337948,NA,No,49.57494921,24.78521651,High_spent_Medium_value_payments,358.1241676,Standard,,,,,,,,,,,,
January,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,24.46403064,26 Years and 7 Months,No,18.81621457,104.2918252,LowspentSmallvaluepayments,470.6906269,Standard,,,,,,,,,,,,
February,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,7,1,7.42,2,Good,605.03,38.55084843,26 Years and 8 Months,No,18.81621457,40.39123783,HighspentLargevaluepayments,484.5912143,Good,,,,,,,,,,,,
March,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,-1,5.42,2,,605.03,33.22495079,26 Years and 9 Months,No,18.81621457,58.5159757,HighspentLargevaluepayments,466.4664764,Standard,,,,,,,,,,,,
April,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,3,5.42,2,Good,605.03,39.18265566,26 Years and 10 Months,No,18.81621457,99.30622796,LowspentMediumvaluepayments,465.6762241,Good,,,,,,,,,,,,
May,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,1,6.42,2,Good,605.03,34.97789475,26 Years and 11 Months,No,18.81621457,130.1154202,LowspentSmallvaluepayments,444.8670319,Good,,,,,,,,,,,,
June,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,0,5.42,2,Good,605.03,33.3810102,27 Years and 0 Months,No,18.81621457,43.47719014,HighspentLargevaluepayments,481.5052619,Good,,,,,,,,,,,,
July,2,Rick Rothackerj,28,34847.84,,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,31.13170161,27 Years and 1 Months,NM,18.81621457,70.10177421,High_spent_Medium_value_payments,464.8806779,Good,,,,,,,,,,,,
August,2,Rick Rothackerj,28,34847.84,3037.986667,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,32.93385629,27 Years and 2 Months,No,18.81621457,218.9043435,Low_spent_Small_value_payments,356.0781086,Good,,,,,,,,,,,,
January,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3,Good,1303.01,28.61673482,17 Years and 9 Months,No,246.9923195,168.4137027,!@9#%8,1043.315978,Good,,,,,,,,,,,,
February,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",13,6,7.1,3,Good,1303.01,41.70257342,17 Years and 10 Months,No,246.9923195,232.8603838,HighspentSmallvaluepayments,998.8692968,Good,,,,,,,,,,,,
March,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,7,11.1,,Good,1303.01,26.51981539,17 Years and 11 Months,No,246.9923195,10000,HighspentSmallvaluepayments,715.7413674,Good,,,,,,,,,,,,
April,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,9.1,3,,1303.01,39.50164811,NA,No,246.9923195,825.2162699,LowspentMediumvaluepayments,426.5134106,Good,,,,,,,,,,,,
May,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",10,5,7.1,3,Good,1303.01,31.37614957,18 Years and 1 Months,No,246.9923195,430.9475279,LowspentLargevaluepayments,810.7821527,Good,,,,,,,,,,,,
June,3,Langep,34,143162.64,12187.22,1,5,8,967,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,39.78399346,18 Years and 2 Months,No,246.9923195,257.8080994,HighspentMediumvaluepayments,963.9215811,Good,,,,,,,,,,,,
July,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,38.06862363,18 Years and 3 Months,No,246.9923195,263.1741632,High_spent_Small_value_payments,968.5555174,Standard,,,,,,,,,,,,
August,3,Langep,34,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3,Good,1303.01,38.37475295,18 Years and 4 Months,No,246.9923195,10000,High_spent_Small_value_payments,895.4945832,Standard,,,,,,,,,,,,
January,4,Jasond,54,30689.89,2612.490833,2,5,4,1,Not Specified,0,6,1.99,4,Good,632.46,26.54422872,17 Years and 3 Months,No,16.41545166,81.22885871,LowspentLargevaluepayments,433.604773,Standard,,,,,,,,,,,,
February,4,Jasond,54,30689.89,2612.490833,2,5,4,1,Not Specified,5,3,1.99,4,Good,632.46,35.27998178,17 Years and 4 Months,No,16.41545166,124.8818199,LowspentSmallvaluepayments,409.9518118,Standard,,,,,,,,,,,,
March,4,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,3,9,1.99,4,Good,632.46,32.30116343,17 Years and 5 Months,NM,16.41545166,83.4065088,HighspentMediumvaluepayments,411.4271229,Standard,,,,,,,,,,,,
April,4,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,7,6,-2.01,4,Good,632.46,38.13234819,17 Years and 6 Months,No,16.41545166,272.3340374,LowspentSmallvaluepayments,262.4995943,Standard,,,,,,,,,,,,
May,4,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-1.01,4,Good,632.46,41.15431655,17 Years and 7 Months,No,16.41545166,10000,LowspentLargevaluepayments,359.3749155,Standard,,,,,,,,,,,,
June,4,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-3.01,4,,632.46,27.44542179,17 Years and 8 Months,No,16.41545166,84.95284817,HighspentSmallvaluepayments,419.8807835,Standard,,,,,,,,,,,,
July,4,Jasond,55,30689.89,2612.490833,2,5,4,1,Not Specified,5,,1.99,4,Good,632.46,26.05639528,17 Years and 9 Months,No,16.41545166,71.28367488,Low_spent_Large_value_payments,443.5499568,Standard,,,,,,,,,,,,
August,4,Jasond,55,30689.89,2612.490833,2,5,4,-100,Not Specified,4,9,1.99,4,Good,632.46,27.33251493,17 Years and 10 Months,No,16.41545166,125.6172505,High_spent_Small_value_payments,379.2163811,Standard,,,,,,,,,,,,
January,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,5,,2.58,4,Standard,943.86,39.79776423,30 Years and 8 Months,Yes,0,276.7253943,!@9#%8,288.6055223,Standard,,,,,,,,,,,,
February,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,9,,2.58,4,Standard,943.86,27.02036025,30 Years and 9 Months,NM,0,74.44364105,HighspentMediumvaluepayments,460.8872756,Standard,,,,,,,,,,,,
March,5,Deepaa,21,35547.71,2853.309167,7,5,5,-100,,5,12,2.58,4,Standard,943.86,23.46230304,30 Years and 10 Months,Yes,0,173.138651,LowspentMediumvaluepayments,392.1922657,Standard,,,,,,,,,,,,
April,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,1,15,2.58,4,,943.86,28.92495378,30 Years and 11 Months,Yes,0,96.78548509,HighspentMediumvaluepayments,438.5454316,Standard,,,,,,,,,,,,
May,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,9,17,2.58,4,,943.86,41.77618715,31 Years and 0 Months,Yes,0,62.72327834,HighspentSmallvaluepayments,482.6076383,Standard,,,,,,,,,,,,
June,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,5,15,2.58,4,Standard,943.86,29.21755633,31 Years and 1 Months,Yes,0,37.64363789,HighspentMediumvaluepayments,497.6872788,Standard,,,,,,,,,,,,
July,5,Deepaa,21,35547.71,2853.309167,7,5,5,0,,10,15,2.58,4,Standard,943.86,26.26382269,31 Years and 2 Months,Yes,0,181.0119827,Low_spent_Small_value_payments,394.3189339,Standard,,,,,,,,,,,,
August,5,Deepaa,21,35547.71,2853.309167,7,5,5,-100,,1,15,2.58,4,Standard,943.86,25.86292247,31 Years and 3 Months,Yes,0,181.330901,High_spent_Small_value_payments,364.0000157,Standard,,,,,,,,,,,,
January,6,Np,31,73928.46,2853.309167,4,1288,8,0,,12,10,10.14,2,Good,548.2,39.96268501,NA,No,15015,98.67440994,HighspentLargevaluepayments,740.1960901,Good,,,,,,,,,,,,
February,6,Np,31,73928.46,5988.705,4,5,8,0,,8,7,10.14,2,Good,548.2,42.7698644,32 Years and 0 Months,NM,0,172.9392145,LowspentMediumvaluepayments,705.9312855,Good,,,,,,,,,,,,
March,6,Np,31,73928.46,5988.705,4,5,8,0,,8,7,10.14,2,Good,548.2,40.71218653,NA,No,0,150.0597343,HighspentMediumvaluepayments,698.8107657,Good,,,,,,,,,,,,
April,6,Np,31,73928.46,5988.705,4,5,8,0,,8,7,10.14,2,Good,548.2,30.20165771,32 Years and 2 Months,No,0,618.2023913,LowspentSmallvaluepayments,270.6681087,Good,,,,,,,,,,,,
May,6,Np,31,73928.46,5988.705,4,5,5318,0,,11,7,10.14,2,,548.2,26.33331043,32 Years and 3 Months,No,0,177.9518357,LowspentLargevaluepayments,690.9186643,Good,,,,,,,,,,,,
June,6,Np,31,73928.46,5988.705,4,5,8,0,,7,7,10.14,2,Good,548.2,35.27543652,NA,No,15515,235.790325,LowspentLargevaluepayments,633.080175,Good,,,,,,,,,,,,
July,6,Np,31,73928.46,5988.705,4,5,8,0,,8,4,9.14,2,_,548.2,36.62479126,32 Years and 5 Months,No,0,348.5093995,High_spent_Small_value_payments,510.3611005,Standard,,,,,,,,,,,,
August,6,Np,31,73928.46,5988.705,4,5,8,0,,8,7,10.14,,Good,548.2,31.58098967,32 Years and 6 Months,No,0,42.63559025,!@9#%8,796.2349097,Good,,,,,,,,,,,,
January,7,Nadiaq,33,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2,Good,352.16,32.200509,30 Years and 7 Months,NM,137.6446054,378.1712535,HighspentMediumvaluepayments,858.4624744,Good,,,,,,,,,,,,
February,7,Nadiaq,34,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",-1,2,15.34,4,Good,352.16,31.98371001,30 Years and 8 Months,No,137.6446054,698.8732707,HighspentSmallvaluepayments,547.7604572,Good,,,,,,,,,,,,
March,7,Nadiaq,34,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,4,Good,352.16,31.8031345,30 Years and 9 Months,NM,911.2201793,188.0643211,HighspentLargevaluepayments,1038.569407,Good,,,,,,,,,,,,
April,7,Nadiaq,34,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,8.34,4,Good,352.16,42.6457849,30 Years and 10 Months,No,23834,337.4349563,HighspentMediumvaluepayments,899.1987716,Good,,,,,,,,,,,,
May,7,Nadiaq,34,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,4,9.34,4,Good,352.16,40.90251715,30 Years and 11 Months,No,32662,263.3789089,HighspentLargevaluepayments,963.254819,Good,,,,,,,,,,,,
June,7,Nadiaq,34,131313.4,10469.20776,0,1,8,-100,"Credit-Builder Loan, and Mortgage Loan",0,3,11.34,4,Good,352.16,41.98016961,31 Years and 0 Months,No,911.2201793,86.56638801,HighspentLargevaluepayments,1140.06734,Standard,,,,,,,,,,,,
